5	0.5	ISLIP	1.6852	1.1469	0.48926	
10	0.5	ISLIP	1.8394	1.4042	0.48522	
15	0.5	ISLIP	1.8816	1.4713	0.48222	
20	0.5	ISLIP	1.9155	1.5426	0.48094	
25	0.5	ISLIP	1.9033	1.534	0.48147	
30	0.5	ISLIP	1.9354	1.5893	0.47994	
35	0.5	ISLIP	1.927	1.5637	0.48075	
40	0.5	ISLIP	1.9285	1.575	0.47908	
45	0.5	ISLIP	1.948	1.6069	0.4801	
50	0.5	ISLIP	1.9411	1.5919	0.47879	
